CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
41703229,SAKE BAR SATSKO,Manhattan,202,EAST    7 STREET,10009,2126140933,Japanese,11/22/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,42,,,4/12/2020,Cycle Inspection / Initial Inspection,40.72467973,-73.98031584,103,2,2602,1004677,1003890019,MN28
50006345,CAFE 2,Manhattan,11,WEST   53 STREET,10019,2123331299,American,2/27/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,2,A,2/27/2019,4/12/2020,Cycle Inspection / Initial Inspection,40.76099511,-73.97720066,105,4,10400,1081128,1012690020,MN17
50035920,T & G FLAVORS,Queens,22801,LINDEN BLVD,11411,7187122956,Caribbean,5/31/2017,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,35,,,4/12/2020,Cycle Inspection / Initial Inspection,40.69291277,-73.7330311,413,27,60000,4244620,4113290007,QN33
41297788,PAGE PLAZA DINER,Staten Island,75,PAGE AVENUE,10309,7189663500,American,4/2/2019,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Y,13,A,4/2/2019,4/12/2020,Cycle Inspection / Re-inspection,40.52232247,-74.23496,503,51,22600,5114091,5075780035,SI11
41232726,BG BAR/MEHANATA,Manhattan,113,LUDLOW STREET,10002,2126250981,Eastern European,1/26/2017,Violations were cited in the following area(s).,15K,Operator failed to make good faith effort to inform smokers of the Smoke-free Act prohibition of smoking.,N,,,,4/12/2020,Smoke-Free Air Act / Re-inspection,40.71941915,-73.98870127,103,1,1800,1005318,1004100024,MN27
50048686,CROWN FRIED CHICKEN,Manhattan,3633,BROADWAY,10031,9172946335,Chicken,5/29/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,13,A,5/29/2019,4/12/2020,Cycle Inspection / Initial Inspection,40.82930258,-73.94835955,109,7,23300,1062444,1020960034,MN04
50069349,WOK CHI,Manhattan,89,EAST   42 STREET,10017,9419072134,Chinese,6/12/2019,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,12,,,4/12/2020,Cycle Inspection / Initial Inspection,40.75209393,-73.97760435,105,4,9200,1035381,1012800001,MN19
41696471,MAISON HARLEM RESTAURANT,Manhattan,341,ST NICHOLAS AVENUE,10027,2122229224,French,2/13/2018,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,N,11,A,2/13/2018,4/12/2020,Cycle Inspection / Re-inspection,40.8120834,-73.95143641,109,9,21303,1059391,1019540050,MN06
50086779,ATOMIC WINGS,Brooklyn,188,PARKSIDE AVENUE,11226,9177573750,Chicken,3/19/2019,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Y,53,,,4/12/2020,Pre-permit (Operational) / Initial Inspection,40.65507019,-73.96134688,314,40,50803,3115925,3050540011,BK42
50072789,CROWN FRIED CHICKEN,Brooklyn,580,ALBANY AVENUE,11203,9173613272,Chicken,7/23/2019,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Y,22,,,4/12/2020,Cycle Inspection / Initial Inspection,40.6604434,-73.93978636,309,41,81000,3107064,3048040039,BK60
50057488,THREE BROTHERS BAR,Brooklyn,4910,3 AVENUE,11220,5163139785,Mexican,6/14/2019,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",N,11,A,6/14/2019,4/12/2020,Cycle Inspection / Initial Inspection,40.64811233,-74.01413709,307,38,2000,3012840,3007810042,BK32
40909191,TRAILER PARK LOUNGE,Manhattan,271,WEST   23 STREET,10011,2124638000,American,1/15/2020,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,29,,,4/12/2020,Cycle Inspection / Initial Inspection,40.74487462,-73.99748821,104,3,9100,1014143,1007730008,MN13
50091295,ORE BAR,Brooklyn,277,GRAHAM AVENUE,11211,7183874731,American,10/23/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,11,A,10/23/2019,4/12/2020,Pre-permit (Operational) / Initial Inspection,40.71196769,-73.94397438,301,34,49500,3069419,3027820026,BK90
41459648,CHRIST COFFEE SHOP & DELI,Manhattan,500,WEST  168 STREET,10032,2127955199,American,10/25/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,19,,,4/12/2020,Cycle Inspection / Initial Inspection,40.83994657,-73.93713678,112,10,25100,1079868,1021230094,MN36
50101935,,Queens,17111,JAMAICA AVE,11432,7185235142,Other,1/1/1900,,,,,,,,4/12/2020,,40.70752885,-73.78831272,412,27,46200,4209799,4098060007,QN61
41263879,THE HALF PINT,Manhattan,234,THOMPSON STREET,10012,2122601088,American,2/8/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,11,A,2/8/2018,4/12/2020,Cycle Inspection / Initial Inspection,40.72943809,-73.99879491,102,1,6500,1008637,1005370013,MN23
50087228,SUSHI BY M,Manhattan,75,EAST    4 STREET,10003,9176509052,Japanese,7/8/2019,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,19,,,4/12/2020,Pre-permit (Operational) / Compliance Inspection,40.72653647,-73.99024063,103,2,3800,1077985,1004600049,MN22
50061440,ARCADIA,Queens,1221,ASTORIA BLVD,11102,3477306181,American,6/13/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,40,,,4/12/2020,Pre-permit (Operational) / Initial Inspection,40.7721197,-73.92994057,401,22,8300,4005579,4005110002,QN71
50094594,FAN SHUN CHINESE RESTAURANT,Queens,6359,108TH ST,11375,7188977438,Chinese,7/10/2019,Violations were cited in the following area(s).,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Y,35,,,4/12/2020,Pre-permit (Operational) / Initial Inspection,40.73342678,-73.84984516,406,29,74300,4051602,4021690001,QN17
50071467,TGA NYC,Manhattan,320,WEST   36 STREET,10018,2126514842,American,9/20/2019,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,N,9,A,9/20/2019,4/12/2020,Cycle Inspection / Initial Inspection,40.75381689,-73.99336234,104,3,11100,1090332,1007590055,MN13
40873138,WIMPY'S RESTAURANT,Manhattan,1822,AMSTERDAM AVENUE,10031,2122818989,American,5/2/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Y,17,,,4/12/2020,Cycle Inspection / Initial Inspection,40.82857649,-73.94517305,109,7,23700,1062155,1020820028,MN04
50046856,THE GREAT NORTHERN DELI AND DANISH DOGS,Manhattan,89,EAST   42 STREET,10017,6462799871,Scandinavian,2/12/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,17,,,4/12/2020,Cycle Inspection / Initial Inspection,40.75209393,-73.97760435,105,4,9200,1035381,1012800001,MN19
41581902,YAMADA JAPANESE RESTAURANT,Bronx,3811,EAST TREMONT AVENUE,10465,7184093528,Japanese,11/29/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,16,,,4/12/2020,Cycle Inspection / Initial Inspection,40.82470531,-73.8203783,210,13,15800,2077021,2054350001,BX52
50041904,MAMBI EXPRESS,Manhattan,1318,SAINT NICHOLAS AVENUE,10033,2129231318,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",7/31/2019,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Y,57,,,4/12/2020,Cycle Inspection / Initial Inspection,40.84599542,-73.93614431,112,10,26100,1063217,1021330007,MN36
50064101,LENA NYC,Manhattan,137,ELDRIDGE STREET,10002,2123437425,American,12/5/2018,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,N,2,A,12/5/2018,4/12/2020,Cycle Inspection / Initial Inspection,40.71903787,-73.99151878,103,1,1800,1005591,1004190066,MN27
50100983,FARMER'S FRIDGE - NYU LANGONE - TISCH HOSPITAL,Manhattan,550,1 AVENUE,10016,3122290099,American,12/10/2019,Violations were cited in the following area(s).,16E,"Caloric content range (minimum to maximum) not posted on menus and or menu boards for each flavor, variety and size of each menu item that is offered for sale in different flavors, varieties and sizes.",N,,,,4/12/2020,Calorie Posting / Initial Inspection,40.74228627,-73.97459435,106,4,6200,1085588,1009627501,MN20
50068274,GREAT WALL,Queens,8712,ASTORIA BLVD,11369,7184786433,Chinese,11/28/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Y,26,,,4/12/2020,Pre-permit (Operational) / Initial Inspection,40.76413989,-73.88204139,403,22,32900,4314418,4010990055,QN28
50018922,YO SUSHI,Manhattan,208,3 AVENUE,10003,2126776921,Japanese,5/14/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,12,,,4/12/2020,Cycle Inspection / Initial Inspection,40.73592578,-73.98527047,106,2,5000,1017882,1008747501,MN21
41634744,JAMAICAN FLAVORS,Queens,8915,165TH ST,11432,7186587600,Caribbean,9/7/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Y,35,,,4/12/2020,Cycle Inspection / Initial Inspection,40.70737001,-73.79608603,412,27,46000,4209605,4097950065,QN61
50100502,ASIAN EXPRESS,Brooklyn,719,FLATBUSH AVENUE,11226,6465259741,Chinese,2/10/2020,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,21,N,,4/12/2020,Pre-permit (Operational) / Initial Inspection,40.65541551,-73.95980775,309,40,79601,3115949,3050550010,BK60
41618267,PHOENIX,Manhattan,447,EAST   13 STREET,10009,2124779979,American,8/3/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,12,A,8/3/2016,4/12/2020,Cycle Inspection / Re-inspection,40.73020797,-73.9820028,103,2,3400,1006022,1004410035,MN22
40609087,STRAUSS BAKERY,Brooklyn,5115,13 AVENUE,11219,7188517728,Jewish/Kosher,11/20/2018,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,N,7,A,11/20/2018,4/12/2020,Cycle Inspection / Re-inspection,40.63375232,-73.99342117,312,44,23600,3138376,3056560001,BK88
41171181,169 BAR,Manhattan,169,EAST BROADWAY,10002,9175772077,American,10/23/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,26,B,10/23/2019,4/12/2020,Cycle Inspection / Re-inspection,40.71407244,-73.9898132,103,1,600,1003625,1002840026,MN28
40906355,DALLAS BBQ,Manhattan,261,8 AVENUE,10011,2124620001,Barbecue,11/15/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,17,,,4/12/2020,Cycle Inspection / Initial Inspection,40.74538791,-73.99842651,104,3,9300,1078540,1007470001,MN13
41347636,NEW APOLLO DINER,Brooklyn,159,LIVINGSTON STREET,11201,7188585600,American,3/7/2018,Violations were cited in the following area(s).,09B,Thawing procedures improper.,N,7,A,3/7/2018,4/12/2020,Cycle Inspection / Initial Inspection,40.69034367,-73.98755953,302,33,3700,3000435,3001550001,BK38
50037954,FU SING,Manhattan,4151,BROADWAY,10033,2129289174,Chinese,12/4/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Y,18,,,4/12/2020,Cycle Inspection / Initial Inspection,40.84657302,-73.93834494,112,10,26300,1063513,1021420217,MN36
41632272,BOCA JUNIORS STEAKHOUSE,Queens,8108,QUEENS BOULEVARD,11373,7184292077,Steak,7/15/2019,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,N,29,,,4/12/2020,Cycle Inspection / Initial Inspection,40.73761166,-73.88195502,404,25,47900,4057230,4024740040,QN50
50015469,SAIGON BAR AND GRILL,Brooklyn,4521,AVENUE N,11234,7183388886,Vietnamese/Cambodian/Malaysia,12/19/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,13,A,12/19/2018,4/12/2020,Cycle Inspection / Initial Inspection,40.61867135,-73.9314206,318,45,67400,3337408,3078700001,BK58
41338312,KING GARDEN RESTAURANT,Manhattan,4316,BROADWAY,10033,2127813862,Chinese,11/1/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,21,,,4/12/2020,Cycle Inspection / Initial Inspection,40.85191782,-73.93483007,112,10,27100,1063931,1021640044,MN35
50076950,ELDER GREENE,Brooklyn,160,FRANKLIN STREET,11222,7183890878,American,2/6/2020,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,13,A,2/6/2020,4/12/2020,Cycle Inspection / Initial Inspection,40.73069015,-73.95771637,301,33,56500,3064538,3025500001,BK76
40571128,THE HEIGHTS BAR & GRILL,Manhattan,2867,BROADWAY,10025,2128667035,Tex-Mex,5/17/2019,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,16,,,4/12/2020,Cycle Inspection / Initial Inspection,40.80506485,-73.96605279,109,7,19900,1057328,1018940049,MN09
50082684,TAQUERIA LOS JARRITOS,Manhattan,121A,NAGLE AVENUE,10040,2127402496,Spanish,2/21/2019,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,N,28,,,4/12/2020,Cycle Inspection / Initial Inspection,40.86074568,-73.92702337,112,10,28300,1064150,1021730015,MN35
50039705,WOOPS! BAKESHOP,Manhattan,93,WORTH STREET,10013,2123431900,CafÃ©/Coffee/Tea,9/21/2018,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",N,,,,4/12/2020,Administrative Miscellaneous / Initial Inspection,40.71640036,-74.00478335,101,1,3300,1001883,1001737504,MN24
50058204,KING WAH RESTAURANT ZHANG,Queens,6911,NORTHERN BLVD,11377,7186518080,Chinese,10/24/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,9,A,10/24/2018,4/12/2020,Cycle Inspection / Initial Inspection,40.75430634,-73.89728337,403,25,30902,4026292,4011650045,QN28
50042162,MILE 17,Manhattan,1446,1 AVENUE,10021,2127721734,American,9/2/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,9,A,9/2/2016,4/12/2020,Cycle Inspection / Re-inspection,40.76989233,-73.95445659,108,5,13200,1045918,1014700002,MN31
50076899,JAMAICA POOLS AND PIZZA,Queens,17903,JAMAICA AVE,11432,7182972380,Pizza,2/28/2019,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,N,51,,,4/12/2020,Pre-permit (Operational) / Compliance Inspection,40.70811297,-73.7821755,412,27,46800,4211564,4098950009,QN61
50081544,GEISHA ASIAN CUISINE & LOUNGE,Manhattan,3470,BROADWAY,10031,2128627800,Asian,5/24/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Y,34,,,4/12/2020,Cycle Inspection / Initial Inspection,40.82423189,-73.95203814,109,7,22500,1061828,1020730064,MN04
50065012,MERCY CAFE,Bronx,1200,WATERS PLACE,10461,7189751198,American,5/8/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,7,A,5/8/2019,4/12/2020,Cycle Inspection / Initial Inspection,40.84272657,-73.8383717,211,13,28400,2087151,2042260070,BX37
50064268,SHU JIAO FUZHOUESE CUISINE,Manhattan,118,ELDRIDGE STREET,10002,2126252532,Chinese,3/3/2020,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,30,Z,3/3/2020,4/12/2020,Cycle Inspection / Re-inspection,40.7182721,-73.99189045,103,1,1800,1005433,1004130008,MN27
41692608,SWEET CHICK,Brooklyn,164,BEDFORD AVENUE,11249,3477254793,American,5/9/2017,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Y,48,,,4/12/2020,Cycle Inspection / Initial Inspection,40.71830284,-73.95723003,301,33,55300,3061921,3023190017,BK73
50051998,HUA XIA RESTAURANT,Manhattan,49,DIVISION STREET,10002,2129651926,Chinese,1/6/2020,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,28,,,4/12/2020,Cycle Inspection / Initial Inspection,40.71416338,-73.99533946,103,1,800,1003510,1002810040,MN27
41007868,PAX,Manhattan,520,8 AVENUE,10018,2127140555,American,12/17/2018,Violations were cited in the following area(s).,09B,Thawing procedures improper.,N,21,,,4/12/2020,Cycle Inspection / Initial Inspection,40.75360549,-73.99241671,105,3,10900,1083624,1007860001,MN17
41087130,FRESH & CO,Manhattan,569,LEXINGTON AVENUE,10022,2122232670,American,11/28/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,10,A,11/28/2018,4/12/2020,Cycle Inspection / Initial Inspection,40.75690977,-73.97204402,106,4,10000,1036458,1013057501,MN19
41393998,AVENUE DINER,Queens,9106,JAMAICA AVENUE,11421,7184410582,American,12/28/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,40,,,4/12/2020,Cycle Inspection / Initial Inspection,40.69307539,-73.85371557,409,32,1800,4184223,4089320016,QN53
41579300,METATE MEXICAN RESTAURANT,Bronx,3515,JOHNSON AVENUE,10463,7185434444,Mexican,2/21/2018,Violations were cited in the following area(s).,20F,Current letter grade card not posted.,N,,,,4/12/2020,Administrative Miscellaneous / Initial Inspection,40.88590268,-73.90991091,208,11,29700,2084161,2057940509,BX29
41695882,MEZETTO,Manhattan,205,ALLEN STREET,10002,2129334587,Mediterranean,8/21/2018,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Y,21,B,8/21/2018,4/12/2020,Cycle Inspection / Re-inspection,40.72263328,-73.98877648,103,1,3601,1005542,1004170018,MN27
50035953,EL NUEVO PATIO,Bronx,1388,EDWARD L GRANT HIGHWAY,10452,7185881609,Spanish,12/16/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,A,12/16/2019,4/12/2020,Cycle Inspection / Re-inspection,40.84150469,-73.9222305,204,16,21302,2008724,2028730008,BX26
41722933,NO. 1 CHINESE RESTAURANT,Brooklyn,1011,BEDFORD AVENUE,11205,7186221685,Chinese,4/22/2019,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Y,12,A,4/22/2019,4/12/2020,Cycle Inspection / Initial Inspection,40.68932822,-73.95508877,303,36,24300,3322141,3017880009,BK75
41707137,NEW RANCHITO,Manhattan,924,AMSTERDAM AVENUE,10025,9176757262,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3/20/2018,Violations were cited in the following area(s).,20F,Current letter grade card not posted.,N,,,,4/12/2020,Administrative Miscellaneous / Initial Inspection,40.7999953,-73.96604455,107,7,19100,1056614,1018770031,MN12
50056862,LANZHOU RAMEN 107,Manhattan,107,EAST BROADWAY,10002,6469983175,Chinese,10/23/2019,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,27,,,4/12/2020,Cycle Inspection / Initial Inspection,40.71379547,-73.99315713,103,1,800,1088291,1002827502,MN27
50018586,PARKSIDE COFFEE SHOP,Brooklyn,188,PARKSIDE AVENUE,11226,7182841914,American,10/9/2019,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,25,,,4/12/2020,Cycle Inspection / Initial Inspection,40.65507019,-73.96134688,314,40,50803,3115925,3050540011,BK42
50082467,AFFECTE LOUNGE,Brooklyn,1715,EMMONS AVENUE,11235,3474593153,Turkish,6/27/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,20,B,6/27/2019,4/12/2020,Pre-permit (Operational) / Re-inspection,40.58336437,-73.95133336,315,48,60800,3247022,3087710129,BK17
40394761,E & L BAKERY & COFFEE SHOP,Bronx,4202,WHITE PLAINS ROAD,10466,7183248152,Bakery,4/23/2019,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Y,8,A,4/23/2019,4/12/2020,Cycle Inspection / Initial Inspection,40.8935648,-73.85726222,212,11,43400,2068166,2049970058,BX62
41147318,FEENEY'S PUB,Brooklyn,6201,5 AVENUE,11220,9177547597,American,1/17/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,16,,,4/12/2020,Cycle Inspection / Initial Inspection,40.63824714,-74.01743184,307,38,12200,3144010,3058010010,BK32
40364449,GOTTSCHEER HALL,Queens,657,FAIRVIEW AVENUE,11385,7183663030,German,3/5/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,12,A,3/5/2019,4/12/2020,Cycle Inspection / Re-inspection,40.70664797,-73.90573574,405,30,58900,4083396,4034850001,QN20
41212475,MOE'S CAFE,Manhattan,209,EAST   23 STREET,10010,2125922167,American,10/8/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,12,A,10/8/2019,4/12/2020,Cycle Inspection / Re-inspection,40.7386345,-73.98267892,106,2,6400,1019770,1009040007,MN21
40400204,STARBUCKS,Manhattan,585,2 AVENUE,10016,2126841299,CafÃ©/Coffee/Tea,8/2/2019,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,22,,,4/12/2020,Cycle Inspection / Initial Inspection,40.74356304,-73.97670864,106,2,7000,1020092,1009130028,MN20
50038449,NAIA DELI GRILL JUICE AND SALAD BAR,Bronx,2115,WASHINGTON AVENUE,10457,9172957142,American,2/20/2019,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Y,12,,,4/12/2020,Cycle Inspection / Initial Inspection,40.8518804,-73.89533921,206,15,39500,2011294,2030370025,BX01
50070507,Raj's Indian Kitchen,Queens,2718,QUEENS PLZ S,11101,6462108734,Indian,3/6/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,21,,,4/12/2020,Pre-permit (Operational) / Initial Inspection,40.75006283,-73.93961481,402,26,1900,4005054,4004220021,QN31
50003978,BONNIE VEE,Manhattan,17,STANTON STREET,10002,9176393352,American,7/11/2017,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,12,A,7/11/2017,4/12/2020,Cycle Inspection / Initial Inspection,40.7225018,-73.99204867,103,1,3601,1087361,1004260024,MN27
50034203,SUBWAY,Brooklyn,1864,86 STREET,11214,7182598800,Sandwiches,5/6/2019,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Y,17,,,4/12/2020,Cycle Inspection / Initial Inspection,40.60630466,-74.00110202,311,47,27800,3166700,3063710047,BK28
50056819,HOT SPACE SZECHWAN RESTAURANT,Brooklyn,774,51 STREET,11220,7189808801,Chinese,9/11/2019,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Y,24,B,9/11/2019,4/12/2020,Cycle Inspection / Re-inspection,40.64087512,-74.00485358,307,38,10800,3013761,3008027501,BK34
40996589,GENA'S GRILL,Manhattan,210,1 AVENUE,10009,2124733700,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/2/2017,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,39,,,4/12/2020,Cycle Inspection / Initial Inspection,40.7303948,-73.98324033,103,2,3400,1005981,1004400007,MN22
